index,sentence,LB,UB,Currency,Rate
264,List Price : CDN$ 9.95 Amazon Marketplace : CDN$ 0.01 Usually ships in 1 - 2 business days.http://ca.hanamoku.com/detail/ 6300215695.html[Amazon ],1,2,-,-
265,Green Stat : A 1 U Server Costs $ 700 per Year to Power,700,700,$,Year
266,The SP- 590 UZ is scheduled to reach retailers in March and sell for around $ 449.99 .,449.99,449.99,$,-
267,"Most cost $ 50,000 to $ 150,000 to equip and consist of two rooms","50,000","150,000",$,-
268,"Color : Blue , Red Gender : Male Price : $ 10",10,10,$,-
269,The Office : Season FourStudio : Universal StudiosList Price:$ 49.98 Buy New:$ 18.98 You Save:$ 31.00 ( 62 % ),49.98,49.98,$,-
270,"costs the retailer $ 80 , the selling price for the dress will be ?",80,80,$,-
271,"billion , and Skoll , worth about $ 5 billion , have become two ofthe",5 billion,5 billion,$,-
272,COST : Suggested $ 20 donation,20,20,$,-
273,"Where a beer costs$ 150,000","150,000","150,000",$,-
274,"3 people are willing to pay $ 10 ( Cathy , Bob , and Alice ) .",10,10,$,-
275,SleuthDirector : Joseph L. MankiewiczList Price:$ 14.98 Buy Used:$ 9.75 You Save:$ 5.23 ( 35 % ),14.98,14.98,$,-
276,"CACTIBET , SOUTHWEST ALPHABET by Jeanette Crews Designs . Alphabet done using cacti , pottery , and southwest colorings and designs . CB 5123 PRICE : $ 3.00",3.00,3.00,$,-
277,Mettler - Toledo 60 LB Retail Price Scale - $ 289.96,289.96,289.96,$,-
278,"See also SA- 7350 Regular price : $ 1.95 DISCOUNT PRICE : $ 0.95 , 11 /$ 9.90 , 26 /$ 22.10 , 50 /$ 40.00",1.95,1.95,$,-
279,Price : $ 199.99 ( 0 Bids)Sale Ends : 1 d 1 h 2 m,199.99,199.99,$,-
280,The personalized version costs $ 79 and gets you a customized header .,79,79,$,-
281,Snake Potato ChipsOur Price : $ 8.40 More DetailsBUY NOWLooks like a can of chips but when openedA Snake jumps out !,8.40,8.40,$,-
282,OPC at the price of $ 15 per oligo for the 100 and 200 nmole synthesis scale .,15,15,$,oligo
283,MotoGP TechnologyAuthor : Neil SpaldingList Price:$ 29.95 Buy New:$ 19.77 You Save:$ 10.18 ( 34 % ),29.95,29.95,$,-
284,went up 13 percent but the yen price increased only 5 percent . The most notable,5,5,-,-
285,outcome an unequivocal vote that the Dolans price of $ 36.26 a,36.26,36.26,$,-
286,"Cost : $ 17.95 USD , 15.00 [ EUR ]",17.95,17.95,$,-
287,Cost : $ 150.00 and be sure to bring your Team Evaluator home - study and policy & procedure manual to the course .,150.00,150.00,$,-
288,Philips CD 4454 Q/ 37 DECT 6.0 Digital Cordless Phone System with 4 HandsetsBrand : PhilipsList Price:$ 149.99 Buy New:$ 57.94 You Save:$ 92.05 ( 61 % ),149.99,149.99,$,-
289,"to sell at $ 17,900.00","17,900.00","17,900.00",$,-
290,"Considering my seats cost nearly $ 100 each , this could represent a significant",100,100,$,each
291,$ 16.95 plus $ 4.95 shipping . Click their name of call toll free 866 GOT - PITS,4.95,4.95,us $,-
292,Promotional Price $ 18.88 for 3 pieces,3,3,-,-
293,Unit Price : US$ 11 .,11,11,$,-
294,WOOD SHAPES by Amer Sch of Ndlwrk . Var des of ctry living . Very cute for framed pic in the home . CB 2415 PRICE : $ 2.30,2.30,2.30,$,-
295,Coverking UVCCAR 3 S 98 Gray Coverguard Car CoverBrand : CoverkingList Price:$ 40.36 Buy New:$ 27.52 You Save:$ 12.84 ( 32 % ),40.36,40.36,$,-
296,"Glad Monster , Sad Monster : A Book About FeelingsAuthor : Ed EmberleyOur Price : $ 8.99",8.99,8.99,$,-
297,"Those looking to purchase , will pay $ 600 per specimen vial , plus subscriber access fees , which vary , based on the length of membership .",600,600,$,specimen
298,Timex Unisex Ironman Triathlon Sleek 50 / 100 Watch # T 54281 Brand : TimexList Price:$ 54.95 Buy New:$ 29.97 You Save:$ 24.98 ( 45 % ),54.95,54.95,$,-
299,"Traffic congestion results in lost time and wasted fuel . According to the Texas Transportation Institute report , congestion costs America $ 78 billion in lost time and",78 billion,78 billion,$,-
300,"annual registration costs $ 24.50 , plus a permissive tax if required and any new",24.50,24.50,$,-
301,Author : Babbie MasonRetail Price : $ 9.98,9.98,9.98,$,-
302,"starts with the FXST Standard with a price ranges from $ 14,995","14,995","14,995",$,-
303,Author : Joel R. BeekeRetail Price : $ 7.99,7.99,7.99,$,-
304,"price:$ 3500 neg . , dhowie 2 @msn.com , 416 991 5141",3500,3500,$,-
305,Large ( Dress Size 16 - 18 ) . Sells for $ 209.95 .,16,18,-,-
306,Pinned wrestling PaperIn StockAvg . Retail Price : $ 0.65 Our Price : $ 0.41,0.65,0.65,$,-
307,Regularly : $ 52.50 Sale Price : $ 26.25,52.50,52.50,$,-
308,well worth the $ 200,200,200,$,-
309,Robe Child Blk MedOur Price : $ 11.90 More DetailsBUY NOWPolyester hooded robe with long drop sleeves and attached waist tie . Medium 7 - 8 . Large 10 - 12 .,7,8,-,-
310,"Dr Kill Joy Child MediumOur Price : $ 23.50 More DetailsBUY NOWBlood stained lab coat , mask and syringe with flowing blood . Small 4 - 6 . Medium 8 - 10 . Large 12 - 14 .",4,6,-,-
311,resolved when Heinz agreed to pay $ 400 and have his structural pest,400,400,$,-
312,pay 5941 BERNARDINO $ 50000 to the . The,50000,50000,$,-
313,of US$ 20 ( this is the price for one only regcode ) . The registration code,one,one,-,-
314,SORL does n't currently meet the $ 100 M market cap / $ 1.50 stock price minimum . ( Learn More ),1.50,1.50,$,-
315,"Shipping Cost : $ 4.00 for North America , sent in a yellow , bubble envelope via regular mail .",4.00,4.00,$,-
316,Ovals OTC Fashion Sockss price decreased 50 % from $ 18.00 to $ 9.00 !,18.00,9.00,$,-
317,"Beckett Racing Collectibles Price Guide 2008 : James , Dr. Beckett III Paperback , 2008 $ 14.19 ( Save 28 % )",14.19,14.19,$,-
318,XXX.DVDRip . XViD XXX .. director : Joone country : USA Cost : $ 70 million Release : Pirates ( 2005 ) Rating : Adult ( X - Rated ) .,70 million,70 million,$,-
319,"Tube rental costs $ 5 per inner tube , and many rides require tubes .",5,5,$,inner
320,"I have a lot of things , said Suzie , but I ve never had nothing . Ill pay you three hundred dollars !",three hundred,three hundred,dollars,-
321,Ages : 5 - 798060534439789806053441 List Price : $ 14.99,5,798060534439789806053441,-,-
322,"Sit - Down : Average cost of a 1,200 sq . ft . coffee bar is between $ 200,000 to $ 375,000 .","200,000","375,000",$,-
323,costs exceed $ 44 Million .,44 Million,44 Million,$,-
324,"* April 2005 - XM raises subscription price to $ 12.95 a month from $ 9.99 , matching Sirius .",12.95,12.95,$,month
325,Bicycle Fix It Video - VHS format ( BU 7507 ) Sale Price $ 5.00,5.00,5.00,$,-
326,"Lowest gas price : $ 3.61 a gallon in Perrysburg , Ohio",3.61,3.61,$,-
327,"Color : Sorrel , Green Gender : Male Price : $ 1,500","1,500","1,500",$,-
328,"ABRV 313272009 Class A DieselHoliday Rambler Endeavor 41 PDQNew 0 $ 278,020 Sale Price : $ 202,900","278,020","278,020",$,-
329,"fulfill their side of theplan . Health officersagreed . An antiviral treatment course costs about $ 50 to $ 60 , andtheyre",50,60,$,-
330,"Boies Schiller Bucks Trend , Will Pay Some $ 100 K Bonuses",100,100,$,-
331,Tour Price - $ 40 - Reservation Required,40,40,$,-
332,Heart ( 6832016 ) - Reg . Price $ 10.00 - OUR PRICE,10.00,10.00,$,-
333,Kik Step SilvertoneBrand : CramerList Price:$ 69.99 Buy New:$ 51.85 You Save:$ 18.14 ( 26 % ),69.99,69.99,$,-
334,The Firm : Total Body - Body Sculpting BasicsDirector : Mark S. HenriksenList Price:$ 14.98 Buy Used:$ 7.94 You Save:$ 7.04 ( 47 % ),14.98,14.98,$,-
335,"the suburbs . The non- profit agencies charge $ 200 to $ 1,000 to process a",200,"1,000",$,-
336,Sale ends after 1 / 31 / 09.9781932633252 Regular price : $ 79.00 Sale price : $ 49.00Formulating for SunCreating sun care products,79.00,79.00,$,-
337,activities . Cost ranges under $ 10 per day with small children at half,10,10,$,day
338,Yikes ! It 'll cost me about $ 45 to upg ... More,45,45,$,-
339,Small problems can become big problems and what can cost a few hundred dollars today may cost,hundred,hundred,dollars,-
340,List Price : $ 51.96 Amazon.com 's Price:$ 42.99 You Save : $ 8.97 ( 17%)Prices subject to change .,51.96,51.96,$,-
341,"Membership costs between $ 6 - 9 per week depending on how much you earn , and provides :",6,9,$,week
342,"Woven Sofa ThrowDate Added : Wednesday 26 November , 2008 Designer Line : Price : $ 198.00",198.00,198.00,$,-
343,"Abreadcrumb and Fish Hooded Sweatshirt , Navy , Medium ( 38 - 40 ) Our Price : $ 26.99",38,40,-,-
344,"This Side of Heaven , Large printAuthor : Karen KingsburyOur Price : $ 30.99",30.99,30.99,$,-
345,Keurig B 60 Special Edition Gourmet Single - Cup Home - Brewing SystemBrand : KeurigList Price:$ 199.95 Buy New:$ 128.80 You Save:$ 71.15 ( 36 % ),199.95,199.95,$,-
346,# DP- 03 On A Picnic - Price $ 12.00,12.00,12.00,$,-
347,Benin / Burkina Faso / Mauritius / BADEA extends loans worth us$ 19.55 million to three african countries,19.55 million,three,$,-
348,"TIER 10 - 10 % off list price , $ 400.00 minimum",10,10,-,-
349,Corum Bubble Mini Diamond Steel Black Ladies Watch 101 - 151 - 47 - 0 F 01 -PN 52 Our Price $ 200.00,101,151,-,-
350,"Cost : $ 25 , includes all activities , coffee , lunch and",25,25,$,-
351,"Price : $ 950.00 ( 0 Bids)Buy It Now Price : $ 1,035.00 Sale Ends : 4 d 15 h 28 m",950.00,950.00,$,-
352,"Moscow : Kruk , 1995 . 319 p. Labirint Hardcover . 13 x 20 cm . ISBN 5900816095 . In Russian . Regular Price $ 20.00 . Sale Price $ 15.00",20.00,20.00,$,-
353,-Web Resultsutobe.com Estimated Worth $ 284.7 USD by websiteoutlookNaruto Sakura Hental Videos,284.7,284.7,$,-
354,"Breed : Chow Chow Color : Brown , Gold Gender : Male Size : Medium Price : $ 500",500,500,$,-
355,Price : $ 259.80 -- See it,259.80,259.80,$,-
356,ABK does n't currently meet the $ 100 M market cap / $ 1.50 stock price minimum . ( Learn More ),1.50,1.50,$,-
357,"Price : $ 65,000 US ( firm ) . Flexible owner financing available with 50 % down payment .","65,000","65,000",$,-
358,"The Bronze Party : Includes gymnastics activities only , no additional party time . Cost $ 100 for registered students . $ 150 for non - registered students .",100,100,$,-
359,year to pay a record $ 176.1 million to black employees and to,176.1 million,176.1 million,$,-
360,Small companies generally pay $ 100 per registered name per year . Fees for,100,100,$,registered
361,69 pp . Price $ 8.00,8.00,8.00,$,-
362,"Certified Pre - owned 8 Cylinder Engine 4.6 LColor - BlueMileage - 47,033 Price : $ 18,780 Internet Price : $ 18,225","18,780","18,780",$,-
363,"worth more than $ 150,000 is surprisingly similar to renting a car worth a","150,000",-,$,-
364,"The cost is $ 275.00 , which includes the publication notebook , training manual , books , insignia polo shirt",275.00,275.00,$,-
365,VIEW ALL Birdhouse Yellow Gourd Ceramic Sale Price : $ 26.00,26.00,26.00,$,-
366,Chopard Mille Miglia Gran Turismo XL Black Leather Mens Watch 16 / 8997 Our Price $ 228.00,228.00,228.00,$,-
367,"California firm to pay $ 15,000 for violating state No Call law under","15,000","15,000",$,-
368,"One cycle of IVF can cost $ 10,000 while fertility drugs can costa","10,000","10,000",$,-
369,tsikboy.com Estimated Worth $ 27791.1 USD by websiteoutlookWww Myhotcommets Com,27791.1,27791.1,$,-
370,"Cost ( 1996 ) about $ 40.00 . In the US , tipping cab drivers a dollar or",40.00,40.00,$,-
371,"Fees : The cost is $ 25 before Friday , Feb. 1 , and $ 40 thereafter .",25,25,$,-
372,"Web hosting for a web site up to 30 pages , with a free optional shopping cart , hosted on our server costs only $ 29.95 per month .",29.95,29.95,$,month
373,BioenergyAuthor : Judy D. WallList Price:$ 149.95 Buy New:$ 119.96 You Save:$ 29.99 ( 20 % ),149.95,149.95,$,-
374,Girls ' Tights sell for $ 4.95 each . Color & Size,4.95,4.95,$,each
375,Pom Poms Plastic White CheerOur Price : $ 4.80 More DetailsBUY NOW 16 inch plastic fringed pom pom with plastic handles attached . Set of two .,two,two,-,-
376,It cost me $ 20 bucks . xD * cough*it'saburntversion*cough--,20,20,$,-
377,Snake Mustard BottleOur Price : $ 3.00 More DetailsBUY NOWLooks like real jar of mustard but snake pops out when opened .,3.00,3.00,$,-
378,"several non - OPEC countries , agreed in December 1986 to a price of US$ 18",18,18,$,-
379,annual cost of $ 3.9 billion . 73,3.9 billion,3.9 billion,$,-
380,Price : $ 12.00 ( Youth ) $ 15.00 ( Adult ),12.00,12.00,$,-
381,Breitling Windrider Cockpit Lady Diamond Steel Black Strap Ladies Watch A 7135612 Our Price $ 228.00,228.00,228.00,$,-
382,Cost was $ 199.00 will take $ 40.00 ( this rug is now discontinued ),199.00,199.00,$,-
383,"-- two - year scholarship that pays $ 1,500 plus a $ 300 book grant each academic","1,500","1,500",$,-
384,Or pay $ 19.95 /month through monthly billing .,19.95,19.95,$,-
385,"Age : 5 Color : White , Sorrel Gender : Female Price : $ 2,300","2,300","2,300",$,-
386,"Price : $ 6,250.00 ( 0 Bids)Buy It Now Price : $ 8,500.00 Sale Ends : 5 h 50 m","6,250.00","6,250.00",$,-
387,"afternoon . Cost is $ 20 , or $ 27.50 for nonmembers . To sign up for any of these",20,20,$,-
388,"Cost is $ 395 per person , $ 250 ages 3 to 11 ( with a special children 's",395,395,$,person
389,and sash . Available in Medium and Large . Sells for $ 94.95 .CLICK,94.95,94.95,$,-
390,Blood Gel Hollywood 2 OzOur Price : $ 6.00More DetailsBUY NOWBest gel available . Great for wounds and special effects . Stays in place when applied .,6.00More,6.00More,$,-
391,Price : $ 409.00,409.00,409.00,$,-
392,Carburetor Fits Mercruiser 3.7 L Mercarb Tag # 1389 - 8489,1389,8489,-,-
393,Lower Price - $ 399.95,399.95,399.95,$,-
394,"me say , "" So I pay you $ 40 , and you kick me in my dutz ? """,40,40,$,-
395,"want really good service , then you pay an attorney $ 10,000 to do this . In","10,000","10,000",$,-
396,"prospect in the mountains and hills for gold , ... .. .. Our Price : $ 10.36",10.36,10.36,$,-
397,"ago demand Yemen pay $ 8 million in ransom , the officer",8 million,8 million,$,-
398,Baby Bloomer Tray and Reservoir with Fittings - List price $ 99.95,99.95,99.95,$,-
399,"Book price : $ 10 , which includes shipping",10,10,$,-
400,major and the year that you graduated . The price is $ 50 for all,50,50,$,-
401,My costs are about $ 1450 per month before major maintenance ( which does nt increase the rents ) .,1450,1450,$,month
402,"Cost is $ 175 for up to 15 kids , $ 10 for each additional child .",-,15,$,-
403,"Photography classes typically cost $ 22.50 if you 're not among our annual members ,",22.50,22.50,$,-
404,"cost about $ 10 - 20 more . You can also purchase new kegs , but they run",10,20,$,-
405,worth less than $ 25 million .,-,25 million,$,-
406,"speed cost $ 7,600 , or 2,129 hours of work . In","7,600","7,600",$,-
407,"cost me ? $ 100 -$ 300 , depending on the model . Who makes it ?",100,100,$,-
408,Price : $ 109.99 --,109.99,109.99,$,-
409,"He urged Congress to give quick attention to his still - evolving economic stimulus plan , designed to create or save three million jobs at a cost of about $ 800 billion .",800 billion,800 billion,$,-
410,"Behind The Glory , Compact Disc [ CD]Author : K - DramaOur Price : $ 8.99",8.99,8.99,$,-
411,Wii Play with Wii RemoteFrom : NintendoList Price:$ 49.99 Buy New:$ 40.98 You Save:$ 9.01 ( 18 % ),49.99,49.99,$,-
412,"cost $ 5.3 million , and included interviews with 233 people and nearly 500,000",5.3 million,5.3 million,$,-
413,100 Years of Harley DavidsonAuthor : Willie G. DavidsonList Price:$ 65.00 Buy Used:$ 19.44 You Save:$ 45.56 ( 70 % ),65.00,65.00,$,-
414,Price per 100 : $ 21.50,21.50,21.50,$,100
415,other authority figures . Price : $ 250.00 NEPI Member Discount :,250.00,250.00,$,-
416,"Breed : American Bulldog Color : Brown , White Gender : Female Size : Small Price : $ 1,650","1,650","1,650",$,-
417,( List price : $ 31.95 ),31.95,31.95,$,-
418,VIAGRA Amazing prices ! Just $ 1.09 per ... ( best herbal viagra ),1.09,1.09,$,...
419,It is estimated that taxpayers pay about $ 130 billion yearly for medical,130 billion,130 billion,$,-
420,Belle Ballerina Sz 3 T 4 TOur Price : $ 27.00More DetailsBUY NOWIncludes- dress with stretch velvet bodice and matching sewn - in panty . Slippers not included . * Copyright Disney,27.00More,27.00More,$,-
421,> If you want it all it will cost around $ 5 -$ 8 a month . You need to download,8,8,$,month
422,"Some vendors were discouraged by high permit fees charged in Horry County , he said . Vendors had to pay at least $ 500 to do business .",500,500,$,-
423,"Hug at McDonald 's costs woman $ 100,000","100,000","100,000",$,-
424,Price : $ 3.50 ( 0 Bids)Sale Ends : 6 d 5 h 36 m,3.50,3.50,$,-
425,Aliens ( Two - Disc Collector 's Edition)Director : James CameronList Price:$ 19.98 Buy Used:$ 7.28 You Save:$ 12.70 ( 64 % ),19.98,19.98,$,-
426,List Price : CDN$ 39.98 Amazon Marketplace : CDN$ 36.60 Usually ships in 1 - 2 business days.http://ca.hanamoku.com/detail/B 001 D 25LTE.html[Amazon ],1,2,-,-
427,More Clip Art for the Liturgical YearAuthor : Placid StuckenschneiderRetail Price : $ 15.95,15.95,15.95,$,-
428,Price : $ 258.00 ( 0 Bids)Buy It Now Price : $ 259.00 Sale Ends : 1 d 18 h 3 m,258.00,258.00,$,-
429,"Serial ATA Cable , Straight / Right Angle , 0.5 mBrand : L - comList Price:$ 5.75 Buy New:$ 3.00 You Save:$ 2.75 ( 48 % )",5.75,5.75,$,-
430,Cost : $ 18 / 10 books,18,18,$,-
431,Cost : $ 140 per person ( tax included ) . Price,140,140,$,person
432,HP A 636 Compact Photo PrinterBrand : Hewlett - PackardList Price:$ 149.99 Buy New:$ 107.04 You Save:$ 42.95 ( 29 % ),149.99,149.99,$,-
